Year,Category,Film,FilmId,Nominees,Winner
2026,Best Film,One Battle After Another,tt30144839,"Adam Somner, Sara Murphy, Paul Thomas Anderson",TRUE
2026,Best Film,Hamnet,tt14905854,"Liza Marshall, Pippa Harris, Nicolas Gonda, Steven Spielberg, Sam Mendes",
2026,Best Film,Marty Supreme,tt32916440,"Timothée Chalamet, Anthony Katagas, Eli Bush, Ronald Bronstein, Josh Safdie",
2026,Best Film,Sentimental Value,tt27714581,"Maria Ekerhovd, Andrea Berentsen Ottmar",
2026,Best Film,Sinners,tt31193180,"Zinzi Coogler, Sev Ohanian, Ryan Coogler",
2026,Best Director,One Battle After Another,tt30144839,Paul Thomas Anderson,TRUE
2026,Best Director,Bugonia,tt12300742,Yorgos Lanthimos,
2026,Best Director,Hamnet,tt14905854,Chloé Zhao,
2026,Best Director,Marty Supreme,tt32916440,Josh Safdie,
2026,Best Director,Sentimental Value,tt27714581,Joachim Trier,
2026,Best Director,Sinners,tt31193180,Ryan Coogler,
2026,Leading Actor,I Swear,tt31514146,Robert Aramayo,TRUE
2026,Leading Actor,Marty Supreme,tt32916440,Timothée Chalamet,
2026,Leading Actor,One Battle After Another,tt30144839,Leonardo DiCaprio,
2026,Leading Actor,Blue Moon,tt32536315,Ethan Hawke,
2026,Leading Actor,Sinners,tt31193180,Michael B. Jordan,
2026,Leading Actor,Bugonia,tt12300742,Jesse Plemons,
2026,Leading Actress,Hamnet,tt14905854,Jessie Buckley,TRUE
2026,Leading Actress,If I Had Legs I'd Kick You,tt18382850,Rose Byrne,
2026,Leading Actress,Song Sung Blue,tt30343021,Kate Hudson,
2026,Leading Actress,One Battle After Another,tt30144839,Chase Infiniti,
2026,Leading Actress,Sentimental Value,tt27714581,Renate Reinsve,
2026,Leading Actress,Bugonia,tt12300742,Emma Stone,
2026,Supporting Actor,One Battle After Another,tt30144839,Sean Penn,TRUE
2026,Supporting Actor,One Battle After Another,tt30144839,Benicio del Toro,
2026,Supporting Actor,Frankenstein,tt1312221,Jacob Elordi,
2026,Supporting Actor,Hamnet,tt14905854,Paul Mescal,
2026,Supporting Actor,I Swear,tt31514146,Peter Mullan,
2026,Supporting Actor,Sentimental Value,tt27714581,Stellan Skarsgård,
2026,Supporting Actress,Sinners,tt31193180,Wunmi Mosaku,TRUE
2026,Supporting Actress,Marty Supreme,tt32916440,Odessa A'zion,
2026,Supporting Actress,Sentimental Value,tt27714581,Inga Ibsdotter Lilleaas,
2026,Supporting Actress,The Ballad of Wallis Island,tt27674982,Carey Mulligan,
2026,Supporting Actress,One Battle After Another,tt30144839,Teyana Taylor,
2026,Supporting Actress,Hamnet,tt14905854,Emily Watson,
2026,Outstanding British Film,Hamnet,tt14905854,"Chloé Zhao, Liza Marshall, Pippa Harris, Nicolas Gonda, Steven Spielberg, Sam Mendes, Maggie O'Farrell",TRUE
2026,Outstanding British Film,28 Years Later,tt10548174,"Danny Boyle, Andrew Macdonald, Peter Rice, Bernard Bellew, Alex Garland",
2026,Outstanding British Film,The Ballad of Wallis Island,tt27674982,"James Griffiths, Rupert Majendie, Tom Basden, Tim Key",
2026,Outstanding British Film,Bridget Jones: Mad About the Boy,tt32063050,"Michael Morris, Tim Bevan, Eric Fellner, Jo Wallett, Helen Fielding, Dan Mazer, Abi Morgan",
2026,Outstanding British Film,Die My Love,tt9362736,"Lynne Ramsay, Martin Scorsese, Jennifer Lawrence, Justine Ciarrocchi, Andrea Calderwood, Enda Walsh, Alice Birch",
2026,Outstanding British Film,H Is for Hawk,tt10329560,"Philippa Lowthorpe, Dede Gardner, Jeremy Kleiner, Emma Donoghue",
2026,Outstanding British Film,I Swear,tt31514146,"Kirk Jones, Georgia Bayliff, Piers Tempest",
2026,Outstanding British Film,Mr. Burton,tt5171016,"Marc Evans, Ed Talfan, Josh Hyams, Hannah Thomas, Trevor Matthews, Tom Bullough",
2026,Outstanding British Film,Pillion,tt32321317,"Harry Lighton, Emma Norton, Lee Groombridge, Ed Guiney, Andrew Lowe",
2026,Outstanding British Film,Steve,tt32985279,"Tim Mielants, Alan Moloney, Cillian Murphy, Max Porter",
2026,Outstanding Debut (British),My Father's Shadow,tt35695538,"Akinola Davies Jr. (Director), Wale Davies (Writer)",TRUE
2026,Outstanding Debut (British),The Ceremony,tt26691106,"Jack King (Director/Writer), Hollie Bryan (Producer), Lucy Meer (Producer)",
2026,Outstanding Debut (British),Pillion,tt32321317,Harry Lighton (Director/Writer),
2026,Outstanding Debut (British),A Want in Her,tt33567409,Myrid Carten (Director),
2026,Outstanding Debut (British),Wasteman,tt29028515,"Cal McMau (Director), Hunter Andrews (Writer), Eoin Doran (Writer)",
2026,Adapted Screenplay,One Battle After Another,tt30144839,Paul Thomas Anderson,TRUE
2026,Adapted Screenplay,The Ballad of Wallis Island,tt27674982,"Tom Basden, Tim Key",
2026,Adapted Screenplay,Bugonia,tt12300742,Will Tracy,
2026,Adapted Screenplay,Hamnet,tt14905854,"Chloé Zhao, Maggie O'Farrell",
2026,Adapted Screenplay,Pillion,tt32321317,Harry Lighton,
2026,Original Screenplay,Sinners,tt31193180,Ryan Coogler,TRUE
2026,Original Screenplay,I Swear,tt31514146,Kirk Jones,
2026,Original Screenplay,Marty Supreme,tt32916440,"Ronald Bronstein, Josh Safdie",
2026,Original Screenplay,The Secret Agent,tt27847051,Kleber Mendonça Filho,
2026,Original Screenplay,Sentimental Value,tt27714581,"Eskil Vogt, Joachim Trier",
2026,Cinematography,One Battle After Another,tt30144839,Michael Bauman,TRUE
2026,Cinematography,Frankenstein,tt1312221,Dan Laustsen,
2026,Cinematography,Marty Supreme,tt32916440,Darius Khondji,
2026,Cinematography,Sinners,tt31193180,Autumn Durald Arkapaw,
2026,Cinematography,Train Dreams,tt29768334,Adolpho Veloso,
2026,Editing,One Battle After Another,tt30144839,Andy Jurgensen,TRUE
2026,Editing,F1,tt16311594,Stephen Mirrione,
2026,Editing,A House of Dynamite,tt32376165,Kirk Baxter,
2026,Editing,Marty Supreme,tt32916440,"Ronald Bronstein, Josh Safdie",
