Year,Category,Film,FilmId,Nominees,Winner
1949,British Film,The Fallen Idol,,,TRUE
1949,British Film,Hamlet,,,FALSE
1949,British Film,Oliver Twist,,,FALSE
1949,British Film,Once A Jolly Swagman,,,FALSE
1949,British Film,The Red Shoes,,,FALSE
1949,British Film,Scott Of The Antarctic,,,FALSE
1949,British Film,The Small Voice,,,FALSE
1949,British Film,Odd Man Out,,,TRUE
1949,Documentary,Louisiana Story,,,TRUE
1949,Documentary,Farrebique,,,FALSE
1949,Documentary,Is Everybody Listening?,,,FALSE
1949,Documentary,Shadow Of The Ruhr,,,FALSE
1949,Documentary,Those Blasted Kids,,,FALSE
1949,Documentary,Three Dawns To Sydney,,,FALSE
1949,Documentary,The World Is Rich,,,TRUE
1949,Film From Any Source,The Best Years Of Our Lives,,,TRUE
1949,Film From Any Source,Hamlet,,,TRUE
1949,Film From Any Source,Crossfire,,,FALSE
1949,Film From Any Source,The Fallen Idol,,,FALSE
1949,Film From Any Source,Four Steps In The Clouds (Quattro Passi Fra Le Nuvole),,,FALSE
1949,Film From Any Source,Monsieur Vincent,,,FALSE
1949,Film From Any Source,Naked City,,,FALSE
1949,Film From Any Source,Paisan (Paisà),,,FALSE
1949,Special Award,Atomic Physics,,,TRUE
1949,Special Award,Divided World,,,FALSE
1949,Special Award,Gandhi's Funeral (Paramount British Newsreel),,,FALSE
1949,Special Award,Norman McLaren Abstract Reel,,,FALSE
1949,Special Award,Your Children's Sleep,,,FALSE
1949,Special Award,The Bear That Got A Peacock's Tail,,,FALSE
1949,Special Award,The Cat's Concerto,,,FALSE
1949,United Nations Award - for the best Film embodying one or more of the principles of the United Nations Charter,No winner awarded this year,,,TRUE
1949,United Nations Award - for the best Film embodying one or more of the principles of the United Nations Charter,Hungry Minds,,,FALSE
1949,United Nations Award - for the best Film embodying one or more of the principles of the United Nations Charter,The Winslow Boy,,,FALSE
1950,British Film,The Third Man,,,TRUE
1950,British Film,Kind Hearts And Coronets,,,FALSE
1950,British Film,Passport To Pimlico,,,FALSE
1950,British Film,The Queen Of Spades,,,FALSE
1950,British Film,A Run For Your Money,,,FALSE
1950,British Film,The Small Back Room,,,FALSE
1950,British Film,Whisky Galore,,,FALSE
1950,Documentary,Daybreak In Udi,,,TRUE
1950,Documentary,Circulation,,,FALSE
1950,Documentary,The Cornish Engine,,,FALSE
1950,Documentary,Drug Addict,,,FALSE
1950,Documentary,Island Of The Lagoon (Isole Nella Laguna),,,FALSE
1950,Documentary,The Liver Fluke In Great Britain,,,FALSE
1950,Documentary,Report On The Refugee Problem,,,FALSE
1950,Film From Any Source,Bicycle Thieves (Ladri Di Biciclette),,,TRUE
1950,Film From Any Source,Ballad Of Berlin (Berliner Ballade),,,FALSE
1950,Film From Any Source,The Last Stage (Ostatni Etap),,,FALSE
1950,Film From Any Source,The Set-Up,,,FALSE
1950,Film From Any Source,The Third Man,,,FALSE
1950,Film From Any Source,The Treasure Of Sierra Madre,,,FALSE
1950,Film From Any Source,The Window,,,FALSE
1950,Special Award,The Martin Family (La Famille Martin),,,TRUE
1950,Special Award,"Accidents Don't Happen, No. 5",,,FALSE
1950,Special Award,Dots And Loops,,,FALSE
1950,Special Award,A Fly About The House,,,FALSE
1950,Special Award,The Legend Of St Ursula,,,FALSE
1950,Special Award,Tale About A Soldier,,,FALSE
1950,United Nations Award - for the best Film embodying one or more of the principles of the United Nations Charter,The Search,,,TRUE
1950,United Nations Award - for the best Film embodying one or more of the principles of the United Nations Charter,Crossroads of Life (Au Carrefour De La Vie),,,FALSE
1950,United Nations Award - for the best Film embodying one or more of the principles of the United Nations Charter,Daybreak In Udi,,,FALSE
1950,United Nations Award - for the best Film embodying one or more of the principles of the United Nations Charter,The People Between,,,FALSE
1950,United Nations Award - for the best Film embodying one or more of the principles of the United Nations Charter,Sardinia Project,,,FALSE
1951,British Film,The Blue Lamp,,,TRUE
1951,British Film,Chance Of A Lifetime,,,FALSE
1951,British Film,Morning Departure,,,FALSE
1951,British Film,Seven Days To Noon,,,FALSE
1951,British Film,State Secret,,,FALSE
1951,British Film,The Wooden Horse,,,FALSE
1951,Documentary,The Undefeated,,,TRUE
1951,Documentary,Inland Waterways,,,FALSE
1951,Documentary,Kon-Tiki,,,FALSE
1951,Documentary,Green Is The Mountain (La Montagne Est Verte),,,FALSE
1951,Documentary,Seal Island,,,FALSE
1951,Documentary,The Vatican,,,FALSE
1951,Documentary,Life Begins Tomorrow (La Vie Commence Demain),,,FALSE
1951,Film From Any Source,All About Eve,,,TRUE
1951,Film From Any Source,The Asphalt Jungle,,,FALSE
1951,Film From Any Source,Beauty And The Beast (La Beauté Du Diable),,,FALSE
1951,Film From Any Source,Intruder In The Dust,,,FALSE
1951,Film From Any Source,The Men,,,FALSE
1951,Film From Any Source,On The Town,,,FALSE
1951,Film From Any Source,Orpheus (Orphée),,,FALSE
1951,Special Award,The True Face Of Japan - This Modern Age,,,TRUE
1951,Special Award,The Charms Of Life (Les Charmes De L'Existence),,,FALSE
1951,Special Award,Medieval Castles,,,FALSE
1951,Special Award,Muscle Beach,,,FALSE
1951,Special Award,Scrapbook For 1933,,,FALSE
1951,Special Award,Sound,,,FALSE
1951,Special Award,The Magic Canvas,,,FALSE
1951,United Nations Award - for the best Film embodying one or more of the principles of the United Nations Charter,Intruder In The Dust,,,TRUE
1951,United Nations Award - for the best Film embodying one or more of the principles of the United Nations Charter,The Dividing Line,,,FALSE
1951,United Nations Award - for the best Film embodying one or more of the principles of the United Nations Charter,Green Is The Mountain (La Montagne Est Verte),,,FALSE
1952,British Film,The Lavender Hill Mob,,,TRUE
1952,British Film,The Browning Version,,,FALSE
1952,British Film,The Magic Box,,,FALSE
1952,British Film,The Magic Garden,,,FALSE
1952,British Film,The Man In The White Suit,,,FALSE
1952,British Film,Never Take No For An Answer,,,FALSE
1952,British Film,No Resting Place,,,FALSE
1952,British Film,White Corridors,,,FALSE
1952,Documentary,Beaver Valley,,,TRUE
1952,Documentary,Visit To Picasso (Bezoek aan Picasso),,,FALSE
1952,Documentary,David,,,FALSE
1952,Documentary,A Family Affair,,,FALSE
1952,Documentary,Family Portrait,,,FALSE
1952,Documentary,Oil For The Twentieth Century,,,FALSE
1952,Documentary,Out Of True,,,FALSE
1952,Film From Any Source,Roundabout (La Ronde),,,TRUE
1952,Film From Any Source,An American In Paris,,,FALSE
1952,Film From Any Source,The Browning Version,,,FALSE
1952,Film From Any Source,Detective Story,,,FALSE
1952,Film From Any Source,Sunday In August (Domenica D'Agosto),,,FALSE
1952,Film From Any Source,Edward And Caroline (Edouard et Caroline),,,FALSE
1952,Film From Any Source,Fourteen Hours,,,FALSE
1952,Film From Any Source,Miss Julie (Fröken Julie),,,FALSE
1952,Film From Any Source,The Lavender Hill Mob,,,FALSE
1952,Film From Any Source,The Magic Box,,,FALSE
1952,Film From Any Source,The Magic Garden,,,FALSE
1952,Film From Any Source,The Man In The White Suit,,,FALSE
1952,Film From Any Source,Never Take No For An Answer,,,FALSE
1952,Film From Any Source,No Resting Place,,,FALSE
1952,Film From Any Source,The Red Badge Of Courage,,,FALSE
1952,Film From Any Source,The Sound Of Fury,,,FALSE
1952,Film From Any Source,A Walk In the Sun,,,FALSE
1952,Film From Any Source,White Corridors,,,FALSE
1952,Special Award,Gerald McBoing Boing,,,TRUE
1952,Special Award,Enterprise,,,FALSE
1952,Special Award,Enterprise,,,FALSE
1952,Special Award,Henry Moore,,,FALSE
1952,Special Award,The Isle Of Man TT 1950,,,FALSE
1952,Special Award,Mother's Day,,,FALSE
1952,Special Award,We've Come A Long Way,,,FALSE
1952,Special Award,The Diesel Story,,,FALSE
1952,United Nations Award - for the best Film embodying one or more of the principles of the United Nations Charter,Four In A Jeep (Die Vier im Jeep),,,TRUE
1952,United Nations Award - for the best Film embodying one or more of the principles of the United Nations Charter,A Family Affair,,,FALSE
1952,United Nations Award - for the best Film embodying one or more of the principles of the United Nations Charter,The Good Life,,,FALSE
1952,United Nations Award - for the best Film embodying one or more of the principles of the United Nations Charter,Power For All,,,FALSE
1952,United Nations Award - for the best Film embodying one or more of the principles of the United Nations Charter,The Sound Of Fury,,,FALSE
1953,British Actor,Ralph Richardson,,The Sound Barrier,TRUE
1953,British Actor,Jack Hawkins,,Mandy,FALSE
1953,British Actor,James Hayter,,The Pickwick Papers,FALSE
1953,British Actor,Laurence Olivier,,Carrie,FALSE
1953,British Actor,Nigel Patrick,,The Sound Barrier,FALSE
1953,British Actor,Alastair Sim,,Folly To Be Wise,FALSE
1953,British Actress,Vivien Leigh,,A Streetcar Named Desire,TRUE
1953,British Actress,Phyllis Calvert,,Mandy,FALSE
1953,British Actress,Celia Johnson,,I Believe In You,FALSE
1953,British Actress,Ann Todd,,The Sound Barrier,FALSE
1953,British Film,The Sound Barrier,,,TRUE
1953,British Film,The African Queen,,,FALSE
1953,British Film,Angels One Five,,,FALSE
1953,British Film,"Cry, The Beloved Country",,,FALSE
1953,British Film,Mandy,,,FALSE
1953,British Film,An Outcast Of The Islands,,,FALSE
1953,British Film,The River,,,FALSE
1953,Documentary,Royal Journey,,,TRUE
1953,Documentary,Fishermen Of Negombo,,,FALSE
1953,Documentary,Highlights Of Farnborough 1952,,,FALSE
1953,Documentary,Journey Into History,,,FALSE
1953,Documentary,Le Mans 1952,,,FALSE
1953,Documentary,Nature's Half Acre,,,FALSE
1953,Documentary,Ocean Terminal,,,FALSE
1953,Documentary,The Open Window,,,FALSE
1953,Documentary,Opera School,,,FALSE
1953,Documentary,Rig 20,,,FALSE
1953,Documentary,The Streamlined Pig,,,FALSE
1953,Film From Any Source,The Sound Barrier,,,TRUE
1953,Film From Any Source,The African Queen,,,FALSE
1953,Film From Any Source,Angels One Five,,,FALSE
1953,Film From Any Source,The Boy Kumasenu,,,FALSE
1953,Film From Any Source,Carrie,,,FALSE
1953,Film From Any Source,Golden Helmet (Casque D'Or),,,FALSE
1953,Film From Any Source,"Cry, The Beloved Country",,,FALSE
1953,Film From Any Source,Death Of A Salesman,,,FALSE
1953,Film From Any Source,Limelight,,,FALSE
1953,Film From Any Source,The Forgotten Ones (Los Olvidados),,,FALSE
1953,Film From Any Source,Mandy,,,FALSE
1953,Film From Any Source,Miracle In Milan (Miracolo A Milano),,,FALSE
1953,Film From Any Source,An Outcast Of The Islands,,,FALSE
1953,Film From Any Source,Rashomon,,,FALSE
1953,Film From Any Source,The River,,,FALSE
1953,Film From Any Source,Singin' In The Rain,,,FALSE
1953,Film From Any Source,A Streetcar Named Desire,,,FALSE
1953,Film From Any Source,"Viva, Zapata!",,,FALSE
1953,Foreign Actor,Marlon Brando,,"Viva, Zapata!",TRUE
1953,Foreign Actor,Humphrey Bogart,,The African Queen,FALSE
1953,Foreign Actor,Pierre Fresnay,,God Needs Men (Dieu A Besoin Des Hommes),FALSE
1953,Foreign Actor,Francesco Golisano,,Miracle in Milan (Miracolo A Milano),FALSE
1953,Foreign Actor,Fredric March,,Death Of A Salesman,FALSE
1953,Foreign Actress,Simone Signoret,,Golden Helmet (Casque D'Or),TRUE
1953,Foreign Actress,Edwige Feuillère,,Olivia,FALSE
1953,Foreign Actress,Katharine Hepburn,,Pat And Mike,FALSE
1953,Foreign Actress,Judy Holliday,,The Marrying Kind,FALSE
1953,Foreign Actress,Nicole Stéphane,,The Strange Ones  (Les Enfants Terribles),FALSE
1953,Most Promising Newcomer To Film,Claire Bloom,,Limelight,TRUE
1953,Most Promising Newcomer To Film,Dorothy Alison,,Mandy,FALSE
1953,Most Promising Newcomer To Film,Mandy Miller,,Mandy,FALSE
1953,Most Promising Newcomer To Film,Dorothy Tutin,,The Importance Of Being Earnest,FALSE
1953,Special Award,Animated Genesis,,,TRUE
1953,Special Award,Balance 1950,,,FALSE
1953,Special Award,Basic Principles Of Lubrication,,,FALSE
1953,Special Award,Demonstrations In Perception,,,FALSE
1953,Special Award,Machining Of Metals,,,FALSE
1953,Special Award,Organisation Of The Human Body,,,FALSE
1953,Special Award,To The Rescue,,,FALSE
1953,Special Award,A Phantasy,,,FALSE
1953,Special Award,The Carlsen Story,,,FALSE
1953,Special Award,The Angry Boy,,,FALSE
1953,Special Award,The Moon,,,FALSE
1953,Special Award,The Stanlow Story,,,FALSE
1953,United Nations Award - for the best Film embodying one or more of the principles of the United Nations Charter,"Cry, The Beloved Country",,,TRUE
1953,United Nations Award - for the best Film embodying one or more of the principles of the United Nations Charter,The Forgotten Ones (Los Olvidados),,,FALSE
1953,United Nations Award - for the best Film embodying one or more of the principles of the United Nations Charter,Neighbours,,,FALSE
1954,British Actor,John Gielgud,,Julius Caesar,TRUE
