Year,CanonicalCategory,Category,Film,FilmId,Nominees,Winner,Detail
1927/28,ACTOR IN A LEADING ROLE,Actor in a Leading Role,The Noose,tt0019217,Richard Barthelmess,,Nickie Elkins
1927/28,ACTOR IN A LEADING ROLE,Actor in a Leading Role,The Patent Leather Kid,tt0018253,Richard Barthelmess,,The Patent Leather Kid
1927/28,ACTOR IN A LEADING ROLE,Actor in a Leading Role,The Last Command,tt0019071,Emil Jannings,TRUE,General Dolgorucki [Grand Duke Sergius Alexander]
1927/28,ACTOR IN A LEADING ROLE,Actor in a Leading Role,The Way of All Flesh,tt0019553,Emil Jannings,TRUE,August Schilling
1927/28,ACTRESS IN A LEADING ROLE,Actress in a Leading Role,A Ship Comes In,tt0018389,Louise Dresser,,Mrs. Pleznik
1927/28,ACTRESS IN A LEADING ROLE,Actress in a Leading Role,7th Heaven,tt0018379,Janet Gaynor,TRUE,Diane
1927/28,ACTRESS IN A LEADING ROLE,Actress in a Leading Role,Street Angel,tt0019429,Janet Gaynor,TRUE,Angela
1927/28,ACTRESS IN A LEADING ROLE,Actress in a Leading Role,Sunrise,tt0018455,Janet Gaynor,TRUE,The Wife
1927/28,ACTRESS IN A LEADING ROLE,Actress in a Leading Role,Sadie Thompson,tt0019344,Gloria Swanson,,Sadie Thompson
1927/28,ART DIRECTION,Art Direction,Sunrise,tt0018455,Rochus Gliese,,
1927/28,ART DIRECTION,Art Direction,The Dove,tt0017822,William Cameron Menzies,TRUE,
1927/28,ART DIRECTION,Art Direction,Tempest,tt0019451,William Cameron Menzies,TRUE,
1927/28,ART DIRECTION,Art Direction,7th Heaven,tt0018379,Harry Oliver,,
1927/28,CINEMATOGRAPHY,Cinematography,The Devil Dancer,tt0017806,George Barnes,,
1927/28,CINEMATOGRAPHY,Cinematography,The Magic Flame,tt0018129,George Barnes,,
1927/28,CINEMATOGRAPHY,Cinematography,Sadie Thompson,tt0019344,George Barnes,,
1927/28,CINEMATOGRAPHY,Cinematography,Sunrise,tt0018455,"Charles Rosher, Karl Struss",TRUE,
1927/28,DIRECTING (Comedy Picture),Directing (Comedy Picture),Two Arabian Knights,tt0018515,Lewis Milestone,TRUE,
1927/28,DIRECTING (Comedy Picture),Directing (Comedy Picture),Speedy,tt0019412,Ted Wilde,,
1927/28,DIRECTING (Dramatic Picture),Directing (Dramatic Picture),7th Heaven,tt0018379,Frank Borzage,TRUE,
1927/28,DIRECTING (Dramatic Picture),Directing (Dramatic Picture),Sorrell and Son,tt0018429,Herbert Brenon,,
1927/28,DIRECTING (Dramatic Picture),Directing (Dramatic Picture),The Crowd,tt0018806,King Vidor,,
1927/28,VISUAL EFFECTS,Visual Effects,,,Ralph Hammeras,,
1927/28,VISUAL EFFECTS,Visual Effects,Wings,tt0018578,Roy Pomeroy,TRUE,
1927/28,VISUAL EFFECTS,Visual Effects,,,Nugent Slaughter,,
1927/28,BEST PICTURE,Best Picture,The Racket,tt0019304,The Caddo Company,,
1927/28,BEST PICTURE,Best Picture,7th Heaven,tt0018379,Fox,,
1927/28,BEST PICTURE,Best Picture,Wings,tt0018578,Paramount Famous Lasky,TRUE,
1927/28,UNIQUE AND ARTISTIC PICTURE,Unique and Artistic Picture,Sunrise,tt0018455,Fox,TRUE,
1927/28,UNIQUE AND ARTISTIC PICTURE,Unique and Artistic Picture,The Crowd,tt0018806,Metro-Goldwyn-Mayer,,
1927/28,UNIQUE AND ARTISTIC PICTURE,Unique and Artistic Picture,Chang,tt0017743,Paramount Famous Lasky,,
1927/28,WRITING (Adapted Screenplay),Writing (Adapted Screenplay),The Jazz Singer,tt0018037,Alfred Cohn,,
1927/28,WRITING (Adapted Screenplay),Writing (Adapted Screenplay),Glorious Betsy,tt0018945,Anthony Coldeway,,
1927/28,WRITING (Adapted Screenplay),Writing (Adapted Screenplay),7th Heaven,tt0018379,Benjamin Glazer,TRUE,
1927/28,WRITING (Original Story),Writing (Original Story),The Last Command,tt0019071,Lajos Biro,,
1927/28,WRITING (Original Story),Writing (Original Story),Underworld,tt0018526,Ben Hecht,TRUE,
1927/28,WRITING (Title Writing),Writing (Title Writing),The Private Life of Helen of Troy,tt0017979,Gerald Duffy,,
1927/28,WRITING (Title Writing),Writing (Title Writing),,,Joseph Farnham,TRUE,
1927/28,WRITING (Title Writing),Writing (Title Writing),,,George Marion Jr.,,
1927/28,SPECIAL AWARD,Special Award,The Jazz Singer,tt0018037,Warner Bros.,TRUE,
1927/28,SPECIAL AWARD,Special Award,The Circus,tt0018773,Charles Chaplin,TRUE,
1928/29,ACTOR IN A LEADING ROLE,Actor in a Leading Role,Thunderbolt,tt0020499,George Bancroft,,Thunderbolt Jim Lang
1928/29,ACTOR IN A LEADING ROLE,Actor in a Leading Role,In Old Arizona,tt0020018,Warner Baxter,TRUE,The Cisco Kid
1928/29,ACTOR IN A LEADING ROLE,Actor in a Leading Role,Alibi,tt0019630,Chester Morris,,"No. 1065, Chick Williams"
1928/29,ACTOR IN A LEADING ROLE,Actor in a Leading Role,The Valiant,tt0020543,Paul Muni,,James Dyke
1928/29,ACTOR IN A LEADING ROLE,Actor in a Leading Role,The Patriot,tt0019257,Lewis Stone,,Count Pahlen
1928/29,ACTRESS IN A LEADING ROLE,Actress in a Leading Role,Madame X,tt0020126,Ruth Chatterton,,Jacqueline Floriot
1928/29,ACTRESS IN A LEADING ROLE,Actress in a Leading Role,The Barker,tt0018674,Betty Compson,,Carrie
1928/29,ACTRESS IN A LEADING ROLE,Actress in a Leading Role,The Letter,tt0020092,Jeanne Eagels,,Leslie Crosbie
1928/29,ACTRESS IN A LEADING ROLE,Actress in a Leading Role,The Divine Lady,tt0019824,Corinne Griffith,,"Emma Hart, Lady Hamilton"
1928/29,ACTRESS IN A LEADING ROLE,Actress in a Leading Role,The Broadway Melody,tt0019729,Bessie Love,,Hank Mahoney
1928/29,ACTRESS IN A LEADING ROLE,Actress in a Leading Role,Coquette,tt0019788,Mary Pickford,TRUE,Norma Besant
1928/29,ART DIRECTION,Art Direction,The Patriot,tt0019257,Hans Dreier,,
1928/29,ART DIRECTION,Art Direction,The Bridge of San Luis Rey,tt0019722,Cedric Gibbons,TRUE,
1928/29,ART DIRECTION,Art Direction,Dynamite,tt0019843,Mitchell Leisen,,
1928/29,ART DIRECTION,Art Direction,Alibi,tt0019630,William Cameron Menzies,,
1928/29,ART DIRECTION,Art Direction,The Awakening,tt0018666,William Cameron Menzies,,
1928/29,ART DIRECTION,Art Direction,Street Angel,tt0019429,Harry Oliver,,
1928/29,CINEMATOGRAPHY,Cinematography,Our Dancing Daughters,tt0019237,George Barnes,,
1928/29,CINEMATOGRAPHY,Cinematography,White Shadows in the South Seas,tt0019574,Clyde De Vinna,TRUE,
1928/29,CINEMATOGRAPHY,Cinematography,In Old Arizona,tt0020018,Arthur Edeson,,
1928/29,CINEMATOGRAPHY,Cinematography,Four Devils,tt0018907,Ernest Palmer,,
1928/29,CINEMATOGRAPHY,Cinematography,Street Angel,tt0019429,Ernest Palmer,,
1928/29,CINEMATOGRAPHY,Cinematography,The Divine Lady,tt0019824,John Seitz,,
1928/29,DIRECTING,Directing,Madame X,tt0020126,Lionel Barrymore,,
1928/29,DIRECTING,Directing,The Broadway Melody,tt0019729,Harry Beaumont,,
1928/29,DIRECTING,Directing,In Old Arizona,tt0020018,Irving Cummings,,
1928/29,DIRECTING,Directing,The Divine Lady,tt0019824,Frank Lloyd,TRUE,
1928/29,DIRECTING,Directing,Drag,tt0019833,Frank Lloyd,,
1928/29,DIRECTING,Directing,Weary River,tt0019557,Frank Lloyd,,
1928/29,DIRECTING,Directing,The Patriot,tt0019257,Ernst Lubitsch,,
1928/29,BEST PICTURE,Best Picture,Alibi,tt0019630,Feature Productions,,
1928/29,BEST PICTURE,Best Picture,In Old Arizona,tt0020018,Fox,,
1928/29,BEST PICTURE,Best Picture,The Broadway Melody,tt0019729,Metro-Goldwyn-Mayer,TRUE,
1928/29,BEST PICTURE,Best Picture,Hollywood Revue,tt0019993,Metro-Goldwyn-Mayer,,
1928/29,BEST PICTURE,Best Picture,The Patriot,tt0019257,Paramount Famous Lasky,,
1928/29,WRITING (Adapted Screenplay),Writing (Adapted Screenplay),In Old Arizona,tt0020018,Tom Barry,,
1928/29,WRITING (Adapted Screenplay),Writing (Adapted Screenplay),The Valiant,tt0020543,Tom Barry,,
1928/29,WRITING (Adapted Screenplay),Writing (Adapted Screenplay),The Cop,tt0018792,Elliott Clawson,,
1928/29,WRITING (Adapted Screenplay),Writing (Adapted Screenplay),The Leatherneck,tt0020088,Elliott Clawson,,
1928/29,WRITING (Adapted Screenplay),Writing (Adapted Screenplay),Sal of Singapore,tt0019348,Elliott Clawson,,
1928/29,WRITING (Adapted Screenplay),Writing (Adapted Screenplay),Skyscraper,tt0019398,Elliott Clawson,,
1928/29,WRITING (Adapted Screenplay),Writing (Adapted Screenplay),The Last of Mrs. Cheyney,tt0020081,Hans Kraly,,
1928/29,WRITING (Adapted Screenplay),Writing (Adapted Screenplay),The Patriot,tt0019257,Hans Kraly,TRUE,
1928/29,WRITING (Adapted Screenplay),Writing (Adapted Screenplay),Our Dancing Daughters,tt0019237,Josephine Lovett,,
1928/29,WRITING (Adapted Screenplay),Writing (Adapted Screenplay),A Woman of Affairs,tt0019591,Bess Meredyth,,
1928/29,WRITING (Adapted Screenplay),Writing (Adapted Screenplay),Wonder of Women,tt0020603,Bess Meredyth,,
1929/30,ACTOR IN A LEADING ROLE,Actor in a Leading Role,Disraeli,tt0019823,George Arliss,TRUE,Benjamin Disraeli
1929/30,ACTOR IN A LEADING ROLE,Actor in a Leading Role,The Green Goddess,tt0020938,George Arliss,,"Oxonian, the Rajah of Rukh"
1929/30,ACTOR IN A LEADING ROLE,Actor in a Leading Role,The Big House,tt0020686,Wallace Beery,,Machine Gun' Butch Schmidt
1929/30,ACTOR IN A LEADING ROLE,Actor in a Leading Role,The Big Pond,tt0020690,Maurice Chevalier,,Pierre Mirande
1929/30,ACTOR IN A LEADING ROLE,Actor in a Leading Role,The Love Parade,tt0020112,Maurice Chevalier,,Count Alfred Renard
1929/30,ACTOR IN A LEADING ROLE,Actor in a Leading Role,Bulldog Drummond,tt0019735,Ronald Colman,,Hugh 'Bulldog' Drummond
1929/30,ACTOR IN A LEADING ROLE,Actor in a Leading Role,Condemned,tt0019785,Ronald Colman,,Michel
1929/30,ACTOR IN A LEADING ROLE,Actor in a Leading Role,The Rogue Song,tt0021307,Lawrence Tibbett,,Yegor
1929/30,ACTRESS IN A LEADING ROLE,Actress in a Leading Role,The Devil's Holiday,tt0020823,Nancy Carroll,,Hallie Hobart
1929/30,ACTRESS IN A LEADING ROLE,Actress in a Leading Role,Sarah and Son,tt0021335,Ruth Chatterton,,Sarah Storm
1929/30,ACTRESS IN A LEADING ROLE,Actress in a Leading Role,Anna Christie,tt0020641,Greta Garbo,,Anna Christie
1929/30,ACTRESS IN A LEADING ROLE,Actress in a Leading Role,Romance,tt0021310,Greta Garbo,,Madame Rita Cavallini
1929/30,ACTRESS IN A LEADING ROLE,Actress in a Leading Role,The Divorcee,tt0020827,Norma Shearer,TRUE,Jerry
1929/30,ACTRESS IN A LEADING ROLE,Actress in a Leading Role,Their Own Desire,tt0020488,Norma Shearer,,Lucia 'Lally' Marlett
1929/30,ACTRESS IN A LEADING ROLE,Actress in a Leading Role,The Trespasser,tt0020514,Gloria Swanson,,Marion Donnell
1929/30,ART DIRECTION,Art Direction,Bulldog Drummond,tt0019735,William Cameron Menzies,,
1929/30,ART DIRECTION,Art Direction,King of Jazz,tt0021025,Herman Rosse,TRUE,
